"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1, C10, C2, C4","402","4","1uF","C52923"
"C11, C12, C13, C14, C15, C16, C17, C3, C5, C6","402","10","100nF","C1525"
"C7, C8","402","2","22pF","C1555"
"C9","402","1","10uF","C15525"
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D5, D6, D7, D8, D9","CUSTOM D_SOD-123","44","1N4148","C81598"
"F1","1206","1","500 mA","C70076"
"J3","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","1","JST","C2845363"
"MX1, MX10, MX11, MX12, MX13, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX38, MX39, MX4, MX40, MX41, MX43, MX45, MX5, MX6, MX7, MX8, MX9","SW_MX_HS_CPG151101S11_1u","39","MX_SW_HS","C41430893"
"MX14, MX37, MX42, MX44","SW_MX_HS_CPG151101S11_1.25u","4","MX_SW_HS","C41430893"
"MX25, MX26","SW_MX_HS_CPG151101S11_1.75u","2","MX_SW_HS","C41430893"
"R10, R11","402","2","1k","C11702"
"R7","402","1","10k","C25744"
"R8, R9","603","2","27","C25190"
"SW1","SW_SPST_SKQG_WithStem","1","Boot","C318884"
"U1","SOT-23","1","XC6206","C5446"
"U2","SOT-23-6","1","USBLC6-2SC6","C7519"
"U3","RP2040-QFN-56","1","RP2040","C2040"
"U4","SOIC-8_5.23x5.23mm_P1.27mm","1","W25Q128JVS","C97521"
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","1","12MHz","C9002"
